assists,blockedFGAs,blocks,defReb,fouls,isHome,offReb,player.firstName,player.lastName,player.name,player.playerId,points,possessions,ppp,secondsPlayed,steals,team.fullName,team.teamId,turnovers,chargeCommitted,chargeTaken,personalFoulCommitted,personalFoulTaken,plusOne,gameId,fgMade,fgAttempt,shot3Made,shot3Attempt,ftMade,ftAttempt,totalReb,fgMissed,ftMissed,assistsTurnover,fgPercent,fgAttemptPercent,fgMissedPercent,shot2Attempt,shot2Made,shot2Missed,shot2Percent,shot3Missed,shot3Percent
4,0,0,2,5,,1,Kerwin,Roach Jr.,Kerwin Roach Jr.,5647dcd6d269224c4b141cf2,10,9,1.1111111111111112,1260,1,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,2,0,0,5,1,0,5bd04203aeda719939caccc0,4,7,2,3,0,0,3,3,0,2.0,0.57,0.57,0.43,4,2,2,0.5,1,0.67
3,0,0,6,2,,0,Dylan,Osetkowski,Dylan Osetkowski,584a98bed95ef3f74c17acf1,6,8,0.75,1680,2,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,1,0,0,2,2,0,5bd04203aeda719939caccc0,1,5,1,3,3,4,6,4,1,3.0,0.2,0.2,0.8,2,0,2,0.0,2,0.33
7,0,0,0,2,,1,Matt,Coleman,Matt Coleman,59afc0bb17120e9c9af4aaf9,6,10,0.6,2040,1,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,1,0,0,2,0,0,5bd04203aeda719939caccc0,3,9,0,2,0,0,1,6,0,7.0,0.33,0.33,0.67,7,3,4,0.43,2,0.0
0,0,0,4,0,,0,Jase,Febres,Jase Febres,59afc0bc17120e9c9af4ab14,23,12,1.9166666666666667,1740,0,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,2,0,0,0,1,1,5bd04203aeda719939caccc0,8,10,7,9,0,1,4,2,1,0.0,0.8,0.8,0.2,1,1,0,1.0,2,0.78
0,0,0,0,0,,0,Jericho,Sims,Jericho Sims,59afc0bc17120e9c9af4abbc,0,,,120,0,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,0,0,0,0,0,0,5bd04203aeda719939caccc0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
0,0,0,0,1,,0,Royce,Hamm,Royce Hamm,59afc0bc17120e9c9af4abce,0,,,120,0,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,0,0,0,1,0,0,5bd04203aeda719939caccc0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
2,0,0,4,1,,0,Elijah,Mitrou-Long,Elijah Mitrou-Long,59e692ef44b2b8aa7ea5f2e1,6,9,0.6666666666666666,1200,0,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,2,0,0,1,0,0,5bd04203aeda719939caccc0,2,7,2,5,0,0,4,5,0,1.0,0.29,0.29,0.71,2,0,2,0.0,3,0.4
3,0,0,3,2,,0,Courtney,Ramey,Courtney Ramey,5be3360eaeda719939abfe5d,4,6,0.6666666666666666,1440,2,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,2,0,0,2,1,0,5bd04203aeda719939caccc0,1,3,1,2,1,2,3,2,1,1.5,0.33,0.33,0.67,1,0,1,0.0,1,0.5
0,0,0,0,0,,0,Drayton,Whiteside,Drayton Whiteside,5be3360eaeda719939abfe60,0,,,0,0,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,0,0,0,0,0,0,5bd04203aeda719939caccc0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
1,0,2,7,2,,4,Jaxson,Hayes,Jaxson Hayes,5be3360eaeda719939abfe62,9,6,1.5,1860,0,Texas-(Austin) Longhorns,54457dd3300969b132fcfe85,0,0,0,2,2,0,5bd04203aeda719939caccc0,3,4,0,0,3,4,11,1,1,0.0,0.75,0.75,0.25,4,3,1,0.75,0,0.0
